                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.87873,                0.95792,                 1.0232,                0.88057,                0.85668,                0.90998,                0.72399,                0.85335,                 1.0679,                 1.0574,              0.0006733,              0.0006733,              0.0006733
                     36,                0.87587,                0.87954,                 1.0631,                0.77272,                 0.8814,                 0.8817,                0.70043,                0.86524,                 1.0729,                 1.0579,              0.0006634,              0.0006634,              0.0006634
                     37,                0.90304,                0.96992,                 1.0833,                0.77272,                 0.8814,                 0.8817,                0.70043,                0.86524,                 1.0729,                 1.0579,              0.0006535,              0.0006535,              0.0006535
                     38,                0.84896,                0.99461,                 1.0583,                0.83088,                0.85797,                 0.8877,                0.72004,                0.84965,                  1.074,                 1.0561,              0.0006436,              0.0006436,              0.0006436
                     39,                0.82927,                 1.0162,                 1.0502,                0.83302,                0.92843,                 0.9382,                 0.7678,                0.83768,                0.96979,                 1.0532,              0.0006337,              0.0006337,              0.0006337
                     40,                0.92378,                0.99628,                 1.0644,                 0.8522,                0.87551,                0.94937,                 0.7641,                0.88294,                0.99914,                 1.0788,              0.0006238,              0.0006238,              0.0006238
                     41,                0.89471,                0.95315,                 1.0417,                 0.8522,                0.87551,                0.94937,                 0.7641,                0.88294,                0.99914,                 1.0788,              0.0006139,              0.0006139,              0.0006139
                     42,                0.89193,                0.92823,                  1.052,                 0.8502,                0.88007,                0.92869,                0.73241,                0.92331,                0.94879,                 1.0862,               0.000604,               0.000604,               0.000604
                     43,                0.90069,                0.88695,                 1.0406,                0.92886,                0.88889,                0.93575,                0.73939,                0.88202,                0.87464,                 1.0601,              0.0005941,              0.0005941,              0.0005941
                     44,                0.80759,                0.88888,                 1.0065,                0.93908,                0.89303,                0.94117,                0.76269,                0.81937,                0.86878,                 1.0318,              0.0005842,              0.0005842,              0.0005842
                     45,                0.88196,                0.92543,                 1.0499,                0.93908,                0.89303,                0.94117,                0.76269,                0.81937,                0.86878,                 1.0318,              0.0005743,              0.0005743,              0.0005743
                     46,                0.87585,                0.91459,                 1.0032,                0.88231,                0.92713,                0.94672,                0.77507,                0.82613,                0.89759,                 1.0194,              0.0005644,              0.0005644,              0.0005644
                     47,                0.80297,                0.94797,                 1.0279,                0.87795,                0.90377,                0.95472,                0.77685,                0.85247,                0.91813,                  1.026,              0.0005545,              0.0005545,              0.0005545
                     48,                0.87917,                0.92998,                 1.0503,                 0.8665,                0.89323,                 0.9579,                0.78262,                0.81883,                0.91777,                 1.0196,              0.0005446,              0.0005446,              0.0005446
                     49,                0.84859,                0.85717,                 1.0221,                 0.8665,                0.89323,                 0.9579,                0.78262,                0.81883,                0.91777,                 1.0196,              0.0005347,              0.0005347,              0.0005347
                     50,                 0.8316,                0.90863,                 1.0906,                0.87927,                0.89434,                0.95589,                0.77389,                0.81151,                0.92658,                 1.0205,              0.0005248,              0.0005248,              0.0005248
                     51,                0.84259,                0.90183,                 1.0206,                0.92947,                 0.9057,                0.95591,                0.77472,                0.83685,                0.88945,                  1.043,              0.0005149,              0.0005149,              0.0005149
                     52,                0.81976,                0.89211,                  1.052,                0.95065,                0.90738,                0.95936,                0.76744,                 0.8482,                0.83649,                 1.0465,               0.000505,               0.000505,               0.000505
                     53,                0.78795,                0.85757,                 1.0579,                0.95065,                0.90738,                0.95936,                0.76744,                 0.8482,                0.83649,                 1.0465,              0.0004951,              0.0004951,              0.0004951
                     54,                0.78401,                0.86948,                 1.0451,                 0.9615,                0.91294,                0.97414,                0.78382,                0.84065,                0.76652,                 1.0418,              0.0004852,              0.0004852,              0.0004852
                     55,                 0.7952,                0.85408,                 1.0428,                0.96559,                0.92485,                0.97886,                0.80139,                0.80755,                 0.7334,                 1.0169,              0.0004753,              0.0004753,              0.0004753
                     56,                0.85331,                0.86418,                 1.0656,                0.95753,                0.93024,                0.97976,                0.80917,                0.79878,                0.74462,                 1.0049,              0.0004654,              0.0004654,              0.0004654
                     57,                0.80376,                0.79068,                0.98564,                0.95753,                0.93024,                0.97976,                0.80917,                0.79878,                0.74462,                 1.0049,              0.0004555,              0.0004555,              0.0004555
                     58,                0.80203,                0.89004,                 1.0591,                0.91659,                0.93505,                0.97723,                0.81061,                0.80448,                0.79026,                 1.0034,              0.0004456,              0.0004456,              0.0004456
                     59,                 0.8292,                0.83142,                 1.0119,                0.81243,                0.93991,                0.96874,                0.80173,                 0.8005,                0.83197,                 1.0025,              0.0004357,              0.0004357,              0.0004357
                     60,                0.78008,                0.96193,                 1.0105,                0.90883,                0.83105,                0.97071,                 0.8056,                0.79926,                0.82913,                 1.0049,              0.0004258,              0.0004258,              0.0004258
                     61,                0.83058,                0.86486,                 1.0523,                0.90883,                0.83105,                0.97071,                 0.8056,                0.79926,                0.82913,                 1.0049,              0.0004159,              0.0004159,              0.0004159
                     62,                0.82249,                0.85523,                 1.0411,                 0.8683,                0.91976,                0.96506,                0.79894,                 0.7933,                0.80139,                 1.0039,               0.000406,               0.000406,               0.000406
                     63,                0.78729,                0.81028,                 1.0139,                0.88825,                0.94395,                0.96867,                0.80219,                0.78283,                0.75412,                  1.001,              0.0003961,              0.0003961,              0.0003961
                     64,                0.79997,                0.80715,                 1.0252,                0.91173,                0.93053,                 0.9783,                0.81327,                0.77369,                0.71197,                0.99967,              0.0003862,              0.0003862,              0.0003862
                     65,                0.80856,                0.84055,                  1.026,                0.91173,                0.93053,                 0.9783,                0.81327,                0.77369,                0.71197,                0.99967,              0.0003763,              0.0003763,              0.0003763
                     66,                 0.8122,                0.82963,                 1.0359,                0.94207,                0.96062,                0.97903,                0.81234,                0.76609,                0.69816,                0.99684,              0.0003664,              0.0003664,              0.0003664
                     67,                0.82493,                0.86411,                 1.0167,                0.96537,                0.94626,                0.98364,                0.81167,                0.76665,                 0.6861,                0.99517,              0.0003565,              0.0003565,              0.0003565
                     68,                0.80223,                0.82804,                 1.0132,                0.98165,                0.94991,                0.98418,                0.82444,                0.75703,                0.67798,                 0.9944,              0.0003466,              0.0003466,              0.0003466
